,address,latitude,longitude
89,35 BEDOK STH AVE 2,1.322332207,103.93976620000001
90,42 BEDOK STH RD,1.321478478,103.940721
91,34 BEDOK STH AVE 2,1.322292801,103.9382517
92,7 BEDOK STH AVE 2,1.3228154429999999,103.9354552
93,8 BEDOK STH AVE 2,1.32284177,103.9360468
94,80 BEDOK NTH RD,1.32848132,103.9406116
95,78 BEDOK NTH RD,1.327260072,103.9408488
96,135 BEDOK RESERVOIR RD,1.333141064,103.91252349999999
97,148 BEDOK RESERVOIR RD,1.335340885,103.911905
98,81 BEDOK NTH RD,1.329299912,103.94108840000001
99,142 BEDOK RESERVOIR RD,1.335636498,103.9132694
100,142 BEDOK RESERVOIR RD,1.335636498,103.9132694
101,124 BEDOK NTH RD,1.329258819,103.93904640000001
102,705 BEDOK NTH RD,1.336608478,103.9196138
103,554 BEDOK NTH ST 3,1.3326271509999998,103.92817209999998
104,602 BEDOK RESERVOIR RD,1.329348987,103.91158320000001
105,81 BEDOK NTH RD,1.329299912,103.94108840000001
106,508 BEDOK NTH AVE 3,1.333400122,103.9325194
107,720 BEDOK RESERVOIR RD,1.335972774,103.924883
108,765 BEDOK RESERVOIR VIEW,1.335961068,103.9359901
109,10 CHAI CHEE RD,1.3272757240000002,103.92480359999999
110,185 BEDOK NTH RD,1.326237253,103.94082759999999
111,111 LENGKONG TIGA,1.324058778,103.9113038
112,220B BEDOK CTRL,1.325477105,103.9343482
113,603 BEDOK RESERVOIR RD,1.33000184,103.912464
114,21 CHAI CHEE RD,1.325778506,103.9224247
115,672 JLN DAMAI,1.33207913,103.9087571
116,415 BEDOK NTH AVE 2,1.329649995,103.9302606
117,763 BEDOK RESERVOIR VIEW,1.336072095,103.9348306
118,805 CHAI CHEE RD,1.324306049,103.92162540000001
119,723 BEDOK RESERVOIR RD,1.3369543940000002,103.9289606
120,722 BEDOK RESERVOIR RD,1.336636993,103.9282078
121,219C BEDOK CTRL,1.324855984,103.9335196
122,640 BEDOK RESERVOIR RD,1.332101322,103.9049532
123,160 BEDOK STH AVE 3,1.31925983,103.94520290000001
124,640 BEDOK RESERVOIR RD,1.332101322,103.9049532
