id,name,type,inc_crc,fmel_upd_d,longitude,latitude,altitude
kml_1511,0,Contour_250K,D876F220AEFFA518,2.02E+13,103.7872393,1.215653663,0
kml_1512,0,Contour_250K,071F88A5F04D2DE8,2.02E+13,103.8339116,1.216312862,0
kml_1513,0,Contour_250K,385140100CCC8C2C,2.02E+13,103.7056957,1.21767199,0
kml_1514,0,Contour_250K,17FB23809F8F17DC,2.02E+13,103.7623,1.210564255,0
kml_1515,0,Contour_250K,3F0BD63A97571111,2.02E+13,103.8596068,1.219834572,0
kml_1516,0,Contour_250K,B4C9F7494B0E251C,2.02E+13,103.8615881,1.221280299,0
kml_1517,0,Contour_250K,3DBA27BB868B51EB,2.02E+13,103.8617909,1.224322865,0
kml_1518,0,Contour_250K,318B75BAF87C1B86,2.02E+13,103.8617909,1.224322865,0
kml_1519,0,Contour_250K,C8276A853740AC9F,2.02E+13,103.7532475,1.225686339,0
kml_1520,0,Contour_250K,7A9B2BC7E0BE9740,2.02E+13,103.7474697,1.228203485,0
kml_1521,0,Contour_250K,67123AC095A25705,2.02E+13,103.7474697,1.228203485,0
kml_1522,0,Contour_250K,A6418C7F246825E0,2.02E+13,103.7476042,1.228235223,0
kml_1523,0,Contour_250K,C08C4AB3069E5502,2.02E+13,103.7476042,1.228235223,0
kml_1524,0,Contour_250K,D1C4937078F9BA0C,2.02E+13,103.8517145,1.230657248,0
kml_1525,0,Contour_250K,3ADF6E0F0381AFC7,2.02E+13,103.8512457,1.230322564,0
kml_1526,0,Contour_250K,47507562F9806CDD,2.02E+13,103.8517145,1.230657248,0
kml_1527,0,Contour_250K,274FB9D8EC007604,2.02E+13,103.8512457,1.230322564,0
kml_1528,0,Contour_250K,205D9C5E9F2059EA,2.02E+13,103.8396861,1.229863255,0
kml_1529,0,Contour_250K,1E58D03E4E85D725,2.02E+13,103.7511357,1.2356795,0
kml_1530,0,Contour_250K,9F312F9B4A87D4CF,2.02E+13,103.8368681,1.239231728,0
kml_1531,0,Contour_250K,8E66DE8A8A68D37F,2.02E+13,103.8369924,1.239646099,0
kml_1532,0,Contour_250K,608AF814FFF6F30D,2.02E+13,103.6489859,1.239800061,0
kml_1533,0,Contour_250K,5C3EFA1C39698979,2.02E+13,103.7764292,1.229620924,0
kml_1534,0,Contour_250K,A7FCDBAE75D07AF0,2.02E+13,103.8291411,1.240769714,0
kml_1535,0,Contour_250K,4BD25CA3B0142545,2.02E+13,103.8370546,1.241618286,0
kml_1536,20,Contour_250K,571E0355C9C66DED,2.02E+13,103.7961958,1.441813523,0
